id,lnTE.WT,wt_TE,geneSymbol,Nm_AUG_status
uc002arl.3,0.490766639,1.633568097,ANP32A,AUG
uc002ary.1,-0.801101152,0.448834457,GLCE,AUG
uc002asb.3,-0.023639543,0.976637682,KIF23,AUG
uc002asd.1,-0.857734315,0.424121921,RPLP1,AUG
uc002asm.2,0.406677109,1.501819103,TLE3,AUG
uc002asr.3,1.175419432,3.239501409,UACA,AUG
uc002atb.1,0.902471044,2.465688414,THSD4,AUG
uc002atl.5,0.627576438,1.873065583,MYO9A,AUG
uc002aun.4,0.873106018,2.394336167,HEXA,AUG
uc002aut.4,-0.076999961,0.92588989,ARIH1,AUG
uc002avf.4,0.357620316,1.429922599,ADPGK,AUG
uc002avs.3,0.238341656,1.269142729,NPTN,AUG
uc002avv.1,0.498635738,1.646473517,CD276,AUG
uc002awv.3,1.465598627,4.3301346,PML,AUG
uc002axj.3,1.325681792,3.764751257,STRA6,AUG
uc002axy.1,0.940983037,2.562499212,UBL7,AUG
uc002aym.3,1.007760477,2.739459058,EDC3,AUG
uc002azb.1,1.299248851,3.666541514,SCAMP2,AUG
uc002azc.1,1.031914164,2.806432669,MPI,AUG
uc002azi.4,0.689222032,1.99216509,COX5A,AUG
uc002azj.1,0.648480435,1.912632251,RPP25,AUG
uc002azq.4,1.052736772,2.865482569,C15orf39,AUG
uc002azy.3,0.874307104,2.397213699,COMMD4,AUG
uc002bai.3,0.592915588,1.809255777,SIN3A,AUG
uc002bal.3,0.766501951,2.152224484,PTPN9,AUG
uc002bas.3,1.050912761,2.860260661,SNUPN,AUG
uc002bbk.3,0.156327162,1.169208661,FBXO22,AUG
uc002bbt.2,-0.023554148,0.976721086,ETFA,AUG
uc002bcd.3,-0.015953682,0.984172904,RCN2,AUG
uc002bcj.3,-0.341676047,0.710578361,TSPAN3,AUG
uc002bcr.3,0.75801533,2.134036656,HMG20A,AUG
uc002bdd.3,0.224053628,1.251138114,IDH3A,AUG
uc002bdn.3,0.722674028,2.059934174,WDR61,AUG
uc002bdr.2,-0.426653444,0.652689707,IREB2,AUG
uc002bdy.3,0.977125039,2.656807035,CHRNA5,AUG
uc002bel.4,-0.159768942,0.852340706,MORF4L1,AUG
uc002beu.3,0.157224312,1.170258087,TMED3,AUG
uc002bex.4,1.073029082,2.924223812,MTHFS,AUG
uc002bff.2,0.628520073,1.874833908,ZFAND6,AUG
uc002bfm.2,1.389488593,4.012797355,FAH,AUG
uc002bfy.1,0.550686377,1.734443091,MESDC2,AUG
uc002bgt.1,0.851479357,2.343110586,EFTUD1,AUG
uc002bjl.2,0.851393914,2.342910392,FAM103A1,AUG
uc002bjn.3,-0.773944053,0.461190517,BTBD1,AUG
uc002bkw.2,0.759761905,2.137767168,WDR73,AUG
uc002bld.3,0.811103338,2.250389558,ZNF592,AUG
uc002blh.3,0.199564139,1.220870512,PDE8A,AUG
uc002blu.2,0.424322851,1.52855501,AKAP13,AUG
uc002bmj.2,1.139045102,3.123784045,MRPL46,AUG
uc002bml.3,0.95230291,2.591671178,MRPS11,AUG
uc002bmt.2,0.216433232,1.241640181,AEN,AUG
uc002bnk.2,0.624317062,1.866970497,ABHD2,AUG
uc002bnr.4,0.545203992,1.724960225,POLG,AUG
uc002boe.3,0.624004203,1.86638649,TICRR,AUG
uc002bos.4,0.437869438,1.549402601,C15orf38-AP3S2,AUG
uc002box.3,1.238426014,3.450178656,IDH2,AUG
uc002boz.3,1.141145493,3.130352109,SEMA4B,AUG
uc002bpf.1,-0.229680664,0.794787366,NGRN,AUG
uc002bpl.1,-0.322318788,0.724467202,IQGAP1,AUG
uc002bpp.4,-0.352974457,0.70259514,CRTC3,AUG
uc002bpr.3,0.600987879,1.823919723,BLM,AUG
uc002bpu.1,0.016814612,1.016956773,FURIN,AUG
uc002bqc.3,1.026126734,2.790237546,MAN2A2,AUG
uc002bqg.3,1.077250749,2.936595006,UNC45A,AUG
uc002bqk.3,0.806167375,2.239309087,RCCD1,AUG
uc002bqm.4,-0.132656777,0.875765623,PRC1,AUG
uc002bqx.2,1.119294417,3.062692457,SLCO3A1,AUG
uc002bsp.3,0.203020763,1.225097905,CHD2,AUG
uc002bul.3,-0.384287016,0.68093596,IGF1R,AUG
uc002bvf.3,0.531904948,1.702171771,MEF2A,AUG
uc002bww.3,1.196229757,3.307622843,SNRPA1,AUG
uc002bwy.3,0.943482424,2.5689119,PCSK6,AUG
uc002bxi.3,0.785976465,2.194548795,TM2D3,AUG
uc002cfi.2,1.139835346,3.126253573,POLR3K,AUG
uc002cfj.4,0.381458789,1.464419311,SNRNP25,AUG
uc002cfo.4,1.027845614,2.795037753,MPG,AUG
uc002cfr.3,1.192479619,3.29524203,NPRL3,AUG
uc002cgc.1,1.21434614,3.368091084,LUC7L,AUG
uc002cgf.3,0.737446063,2.090589457,ITFG3,AUG
uc002cgp.2,0.180380625,1.197673141,AXIN1,AUG
uc002cgs.2,0.911836106,2.488888203,MRPL28,AUG
uc002chb.3,1.202154999,3.327279486,DECR2,AUG
uc002chw.1,0.831321805,2.296352065,C16orf13,AUG
uc002cip.3,1.095680812,2.991218448,RHOT2,AUG
uc002cit.3,0.679687017,1.973260039,STUB1,AUG
uc002ciw.1,0.511823557,1.668330719,JMJD8,AUG
uc002cjw.2,1.255699599,3.510293313,MSLN,AUG
uc002ckb.3,0.5350169,1.707477098,RPUSD1,AUG
uc002cke.4,1.163801894,3.202084148,CHTF18,AUG
uc002cld.2,0.905902314,2.474163388,UBE2I,AUG
uc002cll.3,0.46897927,1.598361864,TSR3,AUG
uc002clv.3,0.755353744,2.128364286,CLCN7,AUG
uc002cly.3,1.016320466,2.76300945,TELO2,AUG
uc002cmg.3,-0.220071921,0.802461082,HN1L,AUG
uc002cmm.3,0.908706707,2.481111653,NME3,AUG
uc002cmo.3,0.278733727,1.321455429,MRPS34,AUG
uc002cmw.4,0.595044804,1.813112178,NUBP2,AUG
uc002cna.3,0.937526495,2.553657116,HAGH,AUG
uc002cnd.3,1.20087515,3.323023795,FAHD1,AUG
uc002cni.2,1.07732437,2.936811209,NDUFB10,AUG
uc002cno.2,-1.383418459,0.25072001,RPS2,AUG
uc002cnu.1,0.828451864,2.289771118,TBL3,AUG
uc002cob.3,0.891553257,2.438914972,GFER,AUG
uc002cof.2,0.959438264,2.610229801,ZNF598,AUG
uc002col.1,1.114325473,3.047511857,NTHL1,AUG
uc002con.3,0.997204787,2.710694261,TSC2,AUG
uc002cow.3,0.043031709,1.043970998,TRAF7,AUG
uc002cpc.3,0.506939572,1.660202482,MLST8,AUG
uc002cpk.1,0.398179474,1.489111263,PGP,AUG
